epoch,split,r2,R2,mse,rank
0,train_eval,0.038713008941178316,-0.0754514913242792,0.7004255,-0.02982272334402364
0,val,0.004664688722229285,-0.016977609140387928,0.63235974,0.03238720687345493
2,train_eval,0.533145177174687,0.4107233619649121,0.38378713,0.7045021799738047
2,val,0.5002010093029761,0.3524093346879129,0.40267378,0.6346961518962343
4,train_eval,0.5077536047506915,0.40798003084272827,0.38557374,0.6741709242520547
4,val,0.47717342566895665,0.34246538671112103,0.408857,0.6275065442226555
6,train_eval,0.6424020838746018,0.49383382705162915,0.32965848,0.732651227115778
6,val,0.5784374944479229,0.3821872999757808,0.38415775,0.6511265652287821
8,train_eval,0.6093649109691196,0.5614601506868773,0.28561446,0.7040503653217237
8,val,0.5635616253197425,0.5087921504560036,0.3054345,0.6415429270609533
10,train_eval,0.6144508246837693,0.5367657408927471,0.30169755,0.7047618204834788
10,val,0.5594249829765128,0.4659301330405905,0.3320862,0.6352557148186477
