epoch,split,r2,R2,mse,rank
0,train_eval,0.04542366797858945,-0.06878000532388917,0.702727,-0.0442089892918649
0,val,0.01201241850339495,-0.045008345940186434,0.6690429,0.04464502886559542
2,train_eval,0.5787168834411699,0.562366752150302,0.28774557,0.6457813574822948
2,val,0.5656233722083894,0.544808921327981,0.29142576,0.6641617482861715
4,train_eval,0.6116399318679108,0.6083635911326208,0.25750247,0.6756391913377487
4,val,0.5593822881290308,0.5566662447444659,0.2838344,0.6448243831374051
6,train_eval,0.6447383664713363,0.5813253266179773,0.27528024,0.7201018297681279
6,val,0.5855808597664071,0.5369055323490552,0.2964857,0.6701896267621125
8,train_eval,0.6264689695930689,0.5591108365963726,0.28988636,0.716187637885519
8,val,0.5923108488938029,0.5257492684095908,0.30362827,0.7069574058587359
10,train_eval,0.575959184050016,0.5227503486141123,0.3137935,0.6560780828272162
10,val,0.46489974691185304,0.3898052616870368,0.39066336,0.577214188407518
