epoch,split,r2,R2,mse,rank
0,train_eval,0.03702591529266234,-0.0635885106849694,0.68819773,-0.03643765398534922
0,val,0.058828987439184015,-0.12315282838615826,0.7561638,-0.13411301395540748
2,train_eval,0.4743282437577813,0.4446180269380513,0.35936138,0.6341005805282277
2,val,0.5499124845695911,0.5435966189429706,0.30727407,0.6449964776518262
4,train_eval,0.5709298236985377,0.5524853020363337,0.28956556,0.6981524137871482
4,val,0.6108983069276249,0.6045885862352915,0.26621115,0.7065655513736434
6,train_eval,0.532241260324319,0.4448114778312522,0.35923624,0.6572623950489226
6,val,0.5739279120530042,0.4912117514546984,0.3425422,0.6900427744981664
8,train_eval,0.6312145729159947,0.6190133135937923,0.24651845,0.7440487607679016
8,val,0.6589133456519707,0.6432754596047046,0.24016519,0.7540002605470228
10,train_eval,0.6381945110934286,0.5969376569817301,0.26080254,0.7416248397644492
10,val,0.6696077747948318,0.6183347871705348,0.25695652,0.7643753407352938
